data_shape,primary_engine,variation,composite_helper,canonical_link,questions
String / Text,Custom Exact Technique,Exact custom / named technique,+ Graph,Canonical: Exact custom named technique,1
String / Text,Custom Exact Technique,Exact custom / named technique,+ Memoization,Canonical: Exact custom named technique,1
String / Text,Backtracking,Combination search,+ Hash Map + Counting + Math,Canonical: Permutations / combinations search,1
String / Text,Backtracking,Permutation / choice-tree generation,+ Math,Canonical: Permutations / combinations search,1
String / Text,Binary Search,Boundary / insertion search,None,Canonical: First/Last Position in Sorted Array,1
String / Text,Binary Search,Exact / partition binary search,+ Sorting,Canonical: Binary Search / median partition,1
String / Text,Binary Search,Exact / partition binary search,+ Sorting + Prefix/Suffix,Canonical: Binary Search / median partition,1
String / Text,Binary Search,Exact / partition binary search,None,Canonical: Binary Search / median partition,1
String / Text,Bit / Mask,Bitwise state manipulation,None,Canonical: Bit manipulation,1
String / Text,Bit / Mask,XOR / parity logic,None,Canonical: Single Number / XOR invariant,1
Relational Table / SQL,SQL / Window Function,Partitioned window analytics,+ Memoization,Canonical: Ranking & running-row analytics,1
Relational Table / SQL,SQL / Window Function,Partitioned window analytics,+ Prefix/Suffix,Canonical: Ranking & running-row analytics,1
Relational Table / SQL,SQL / Window Function,RANK / ordering,+ Counting,Canonical: Ranking & running-row analytics,1
Relational Table / SQL,SQL / Window Function,ROW_NUMBER ranking,+ Counting,Canonical: Ranking & running-row analytics,1
String / Text,BFS,Single-source breadth-first traversal,+ Counting,Canonical: Shortest-path layer BFS,1
String / Text,BFS,Single-source breadth-first traversal,+ Trie,Canonical: Shortest-path layer BFS,1
String / Text,Backtracking,Choice tree with undo,+ Bitmask,Canonical: Permutations / combinations search,1
String / Text,Backtracking,Choice tree with undo,+ Counting,Canonical: Permutations / combinations search,1
Array / Sequence,Sliding Window,Variable-size + frequency/uniqueness control,None,Canonical: Longest Substring Without Repeating Characters,1
Array / Sequence,Sliding Window,Variable-size window,+ Bitmask,Canonical: Minimum Window / variable-size window,1
Array / Sequence,Sliding Window,Variable-size window,+ Counting + Sorting,Canonical: Minimum Window / variable-size window,1
Array / Sequence,Sliding Window,Variable-size window,+ Hash Map + Counting + Bitmask,Canonical: Minimum Window / variable-size window,1
Array / Sequence,Sliding Window,Variable-size window,+ Hash Map + Hash Set + Counting,Canonical: Minimum Window / variable-size window,1
Array / Sequence,Sliding Window,Variable-size window,+ Hash Set,Canonical: Minimum Window / variable-size window,1
Array / Sequence,Sliding Window,Variable-size window,+ Prefix/Suffix + Greedy Check,Canonical: Minimum Window / variable-size window,1
Relational Table / SQL,SQL / Window Function,Partitioned window analytics,+ Math,Canonical: Ranking & running-row analytics,1
Array / Sequence,Prefix / Suffix Precompute,Prefix/suffix extrema or counts,+ Greedy Check,Canonical: Prefix/Suffix extrema accumulation,1
Array / Sequence,Prefix / Suffix Precompute,Range-sum precompute,+ Counting,Canonical: Range Sum Query,1
Array / Sequence,Prefix / Suffix Precompute,Range-sum precompute,+ Hash Set,Canonical: Range Sum Query,1
Array / Sequence,Queue / Deque,Deque-backed range/window state,+ Hash Set,Canonical: Sliding Window Maximum,1
Array / Sequence,Queue / Deque,Deque-backed range/window state,+ Prefix/Suffix,Canonical: Sliding Window Maximum,1
String / Text,Dynamic Programming,State-transition DP,+ Prefix/Suffix,Canonical: Coin Change / state-transition DP,1
String / Text,Dynamic Programming,State-transition DP,+ Sorting,Canonical: Coin Change / state-transition DP,1
String / Text,Fenwick / Sparse Table,Fenwick prefix aggregate,+ Prefix/Suffix + Tree + Segment/Fenwick,Canonical: Fenwick tree / Binary Lifting,1
Array / Sequence,Monotonic Stack,Boundary / histogram stack,+ Counting,Canonical: Daily Temperatures / Largest Rectangle,1
Array / Sequence,Monotonic Stack,Next-greater / monotonic boundary stack,+ Hash Map,Canonical: Daily Temperatures / Largest Rectangle,1
Array / Sequence,Monotonic Stack,Next-greater / monotonic boundary stack,+ Hash Map + Counting + Greedy Check,Canonical: Daily Temperatures / Largest Rectangle,1
Array / Sequence,Monotonic Stack,Next-greater / monotonic boundary stack,+ Heap,Canonical: Daily Temperatures / Largest Rectangle,1
Array / Sequence,Monotonic Stack,Next-greater / monotonic boundary stack,+ Sorting + Memoization,Canonical: Daily Temperatures / Largest Rectangle,1
Array / Sequence,Prefix / Suffix Precompute,Difference-array accumulation,+ Greedy Check + Intervals/Geometry,Canonical: Prefix/Suffix extrema accumulation,1
Array / Sequence,Prefix / Suffix Precompute,Difference-array accumulation,+ Hash Map + Counting,Canonical: Prefix/Suffix extrema accumulation,1
Array / Sequence,Prefix / Suffix Precompute,Difference-array accumulation,+ Sorting + Greedy Check,Canonical: Prefix/Suffix extrema accumulation,1
String / Text,Divide and Conquer,Recursive split / combine,None,Canonical: Merge-sort / recursive split-combine,1
String / Text,Dynamic Programming,1D DP,+ Bitmask + Tree + Segment/Fenwick,Canonical: Climbing Stairs / House Robber,1
String / Text,Dynamic Programming,State-transition DP,+ Counting,Canonical: Coin Change / state-transition DP,1
String / Text,Dynamic Programming,State-transition DP,+ Counting + Greedy Check,Canonical: Coin Change / state-transition DP,1
Array / Sequence,Heap,Top-K / best-first selection,+ Greedy Check,Canonical: Top K Frequent Elements / merge-k,1
Array / Sequence,Heap,Top-K / best-first selection,+ Hash Map,Canonical: Top K Frequent Elements / merge-k,1
Array / Sequence,Heap,Top-K / best-first selection,+ Hash Map + Greedy Check,Canonical: Top K Frequent Elements / merge-k,1
Array / Sequence,Heap,Top-K / best-first selection,+ Hash Set + Sorting,Canonical: Top K Frequent Elements / merge-k,1
String / Text,Custom Exact Technique,Exact custom / named technique,+ Memoization + String Parsing,Canonical: Exact custom named technique,1
String / Text,Custom Exact Technique,Exact custom / named technique,+ Prefix/Suffix + Math,Canonical: Exact custom named technique,1
String / Text,Custom Exact Technique,Exact custom / named technique,+ Tree + String Parsing,Canonical: Exact custom named technique,1
String / Text,DFS,Depth-first traversal,+ Bitmask,Canonical: Depth-first component exploration,1
String / Text,DFS,Depth-first traversal,+ Hash Set,Canonical: Depth-first component exploration,1
String / Text,DFS,Depth-first traversal,+ Stack,Canonical: Depth-first component exploration,1
String / Text,DFS,Depth-first traversal,+ Tree,Canonical: Depth-first component exploration,1
String / Text,DFS,Memoized DFS,+ Sorting + Trie,Canonical: Depth-first component exploration,1
String / Text,Heap,Priority-based selection,+ String Parsing,Canonical: Top K Frequent Elements / merge-k,1
String / Text,Heap,Priority-based selection,None,Canonical: Top K Frequent Elements / merge-k,1
String / Text,Heap,Top-K / best-first selection,+ Hash Map,Canonical: Top K Frequent Elements / merge-k,1
String / Text,Math / Number Theory,Digit arithmetic / carry,None,Canonical: Add Two Numbers / Reverse Integer,1
String / Text,Math / Number Theory,Formula / constructive math,+ Counting + Bitmask + Tree,Canonical: Mathematical invariant,1
String / Text,Monotonic Stack,Next-greater / monotonic boundary stack,+ Greedy Check,Canonical: Daily Temperatures / Largest Rectangle,1
String / Text,Monotonic Stack,Next-greater / monotonic boundary stack,+ Hash Map + Counting + Greedy Check,Canonical: Daily Temperatures / Largest Rectangle,1
String / Text,Monotonic Stack,Next-greater / monotonic boundary stack,+ Queue/Deque + Greedy Check,Canonical: Daily Temperatures / Largest Rectangle,1
String / Text,Hash Set,Uniqueness / seen-set check,+ Bitmask + Math,Canonical: Contains Duplicate / seen-set uniqueness,1
String / Text,Hash Set,Uniqueness / seen-set check,+ Counting + Sorting + Greedy Check,Canonical: Contains Duplicate / seen-set uniqueness,1
String / Text,Hash Set,Uniqueness / seen-set check,+ Greedy Check,Canonical: Contains Duplicate / seen-set uniqueness,1
String / Text,Hash Set,Uniqueness / seen-set check,+ Sorting + Bitmask,Canonical: Contains Duplicate / seen-set uniqueness,1
String / Text,Heap,Priority-based selection,+ Counting + Greedy Check,Canonical: Top K Frequent Elements / merge-k,1
String / Text,Heap,Priority-based selection,+ Counting + Greedy Check + Bitmask,Canonical: Top K Frequent Elements / merge-k,1
String / Text,Heap,Priority-based selection,+ Memoization,Canonical: Top K Frequent Elements / merge-k,1
String / Text,Heap,Priority-based selection,+ Sorting,Canonical: Top K Frequent Elements / merge-k,1
String / Text,Hash Map,Direct keyed lookup,+ Sorting,Canonical: Direct lookup dictionary,1
String / Text,Hash Map,Direct keyed lookup,+ Sorting + Math,Canonical: Direct lookup dictionary,1
String / Text,Hash Map,Direct keyed lookup,+ String Parsing,Canonical: Direct lookup dictionary,1
String / Text,Hash Map,Frequency dictionary,+ Counting + Bitmask,Canonical: Group Anagrams / frequency map,1
String / Text,Hash Map,Frequency dictionary,+ Counting + Greedy Check,Canonical: Group Anagrams / frequency map,1
String / Text,Hash Map,Frequency dictionary,+ Counting + Prefix/Suffix + String Parsing,Canonical: Group Anagrams / frequency map,1
String / Text,Hash Map,Frequency dictionary,+ Hash Set + Counting,Canonical: Group Anagrams / frequency map,1
String / Text,Hash Map,Pattern/signature map,None,Canonical: Isomorphic Strings / pattern hash,1
String / Text,Fenwick / Sparse Table,Fenwick prefix aggregate,+ Tree + Segment/Fenwick + Intervals/Geometry,Canonical: Fenwick tree / Binary Lifting,1
String / Text,Greedy,Greedy with numeric invariant,+ Math,Canonical: Gas Station / local-choice greedy,1
String / Text,Greedy,Local-choice optimization,+ Counting + Prefix/Suffix,Canonical: Gas Station / local-choice greedy,1
String / Text,Greedy,Local-choice optimization,+ Hash Set + Bitmask,Canonical: Gas Station / local-choice greedy,1
String / Text,Greedy,Local-choice optimization,+ String Parsing,Canonical: Gas Station / local-choice greedy,1
String / Text,Hash Map,Direct keyed lookup,+ Counting,Canonical: Direct lookup dictionary,1
String / Text,Hash Map,Direct keyed lookup,+ Hash Set + String Parsing,Canonical: Direct lookup dictionary,1
String / Text,Hash Map,Direct keyed lookup,+ Math,Canonical: Direct lookup dictionary,1
Array / Sequence,Heap,Priority-based selection,+ Hash Map + Queue/Deque,Canonical: Top K Frequent Elements / merge-k,1
Array / Sequence,Heap,Priority-based selection,+ Hash Map + Sorting + Queue/Deque,Canonical: Top K Frequent Elements / merge-k,1
Array / Sequence,Heap,Priority-based selection,+ Hash Map + Sorting + Tree,Canonical: Top K Frequent Elements / merge-k,1
Array / Sequence,Heap,Priority-based selection,+ Intervals/Geometry,Canonical: Top K Frequent Elements / merge-k,1
Array / Sequence,Heap,Priority-based selection,+ Memoization,Canonical: Top K Frequent Elements / merge-k,1
Array / Sequence,Heap,Priority-based selection,+ Sorting + Greedy Check,Canonical: Top K Frequent Elements / merge-k,1
Array / Sequence,Heap,Priority-based selection,+ Stack,Canonical: Top K Frequent Elements / merge-k,1
String / Text,Simulation / Scan / Precompute,Deterministic state machine,None,Canonical: DFA / parser-style scan,1
Array / Sequence,Hash Set,Uniqueness / seen-set check,+ Sorting + Math,Canonical: Contains Duplicate / seen-set uniqueness,1
Array / Sequence,Hash Set,Visited-state membership,None,Canonical: Contains Duplicate / seen-set uniqueness,1
Array / Sequence,Heap,Dual-heap balancing,+ Greedy Check,Canonical: Find Median from Data Stream,1
Array / Sequence,Heap,Dual-heap balancing,+ Hash Map,Canonical: Find Median from Data Stream,1
Array / Sequence,Heap,Dual-heap balancing,+ Hash Map + Sorting + Tree,Canonical: Find Median from Data Stream,1
Array / Sequence,Heap,Dual-heap balancing,+ Hash Map + Tree,Canonical: Find Median from Data Stream,1
Array / Sequence,Heap,Dual-heap balancing,+ Prefix/Suffix + Queue/Deque,Canonical: Find Median from Data Stream,1
Array / Sequence,Heap,Priority-based selection,+ Greedy Check + Math,Canonical: Top K Frequent Elements / merge-k,1
String / Text,Segment Tree,Range query / update tree,+ Tree + Segment/Fenwick + Intervals/Geometry,Canonical: Range query / update segment tree,1
Array / Sequence,Hash Map,Frequency dictionary,+ Counting + Sorting + Prefix/Suffix,Canonical: Group Anagrams / frequency map,1
Array / Sequence,Hash Map,Frequency dictionary,+ Counting + Stack,Canonical: Group Anagrams / frequency map,1
Array / Sequence,Hash Map,Frequency dictionary,+ Counting + String Parsing,Canonical: Group Anagrams / frequency map,1
Array / Sequence,Hash Set,Uniqueness / seen-set check,+ Memoization,Canonical: Contains Duplicate / seen-set uniqueness,1
Array / Sequence,Hash Set,Uniqueness / seen-set check,+ Prefix/Suffix,Canonical: Contains Duplicate / seen-set uniqueness,1
Array / Sequence,Hash Set,Uniqueness / seen-set check,+ Queue/Deque,Canonical: Contains Duplicate / seen-set uniqueness,1
Array / Sequence,Hash Set,Uniqueness / seen-set check,+ Sorting,Canonical: Contains Duplicate / seen-set uniqueness,1
String / Text,Prefix / Suffix Precompute,Difference-array accumulation,+ Greedy Check + Tree + Segment/Fenwick,Canonical: Prefix/Suffix extrema accumulation,1
String / Text,Prefix / Suffix Precompute,Prefix/suffix extrema or counts,+ Counting,Canonical: Prefix/Suffix extrema accumulation,1
String / Text,Prefix / Suffix Precompute,Prefix/suffix extrema or counts,+ Greedy Check + Bitmask + Math,Canonical: Prefix/Suffix extrema accumulation,1
String / Text,Prefix / Suffix Precompute,Prefix/suffix extrema or counts,None,Canonical: Prefix/Suffix extrema accumulation,1
String / Text,Queue / Deque,Deque-backed range/window state,+ Stack,Canonical: Sliding Window Maximum,1
String / Text,Segment Tree,Range query / update tree,+ Greedy Check + Tree + Segment/Fenwick,Canonical: Range query / update segment tree,1
String / Text,Segment Tree,Range query / update tree,+ Sorting + Tree + Segment/Fenwick,Canonical: Range query / update segment tree,1
String / Text,Segment Tree,Range query / update tree,+ Tree + Segment/Fenwick,Canonical: Range query / update segment tree,1
Array / Sequence,Greedy,Local-choice optimization,+ Graph + Math,Canonical: Gas Station / local-choice greedy,1
Array / Sequence,Greedy,Sort-then-greedy,+ Sorting + Math,Canonical: Merge Intervals / scheduling greedy,1
Array / Sequence,Hash Map,Complement lookup,None,Canonical: Two Sum,1
Array / Sequence,Hash Map,Direct keyed lookup,+ Grid,Canonical: Direct lookup dictionary,1
Array / Sequence,Hash Map,Direct keyed lookup,+ Prefix/Suffix,Canonical: Direct lookup dictionary,1
Array / Sequence,Hash Map,Direct keyed lookup,+ Prefix/Suffix + Math,Canonical: Direct lookup dictionary,1
Array / Sequence,Hash Map,Direct keyed lookup,+ Sorting + Tree + Intervals/Geometry,Canonical: Direct lookup dictionary,1
Array / Sequence,Hash Map,Frequency dictionary,+ Counting + Bitmask,Canonical: Group Anagrams / frequency map,1
String / Text,Two Pointers,Boundary / pointer sweep,+ Hash Map + Sorting,Canonical: Two Sum II / Container With Most Water,1
String / Text,Two Pointers,Boundary / pointer sweep,+ Prefix/Suffix + Greedy Check,Canonical: Two Sum II / Container With Most Water,1
String / Text,Two Pointers,Boundary / pointer sweep,+ Sorting + Greedy Check,Canonical: Two Sum II / Container With Most Water,1
String / Text,Two Pointers,Boundary / pointer sweep,+ String Parsing + Math,Canonical: Two Sum II / Container With Most Water,1
Array / Sequence,Geometry,Geometric reasoning,+ Queue/Deque,Canonical: Geometry / sweep / convex-hull family,1
Array / Sequence,Geometry,Geometric reasoning,None,Canonical: Geometry / sweep / convex-hull family,1
Array / Sequence,Greedy,Greedy with numeric invariant,+ Counting + Math,Canonical: Gas Station / local-choice greedy,1
Array / Sequence,Greedy,Local-choice optimization,+ Bitmask + Tree + Segment/Fenwick,Canonical: Gas Station / local-choice greedy,1
String / Text,Sorting / Sweep,Order-then-scan,+ Prefix/Suffix + Tree,Canonical: Sort then scan,1
String / Text,Stack,Dual-stack transfer / evaluation,+ Counting,Canonical: Valid Parentheses,1
String / Text,Stack,Dual-stack transfer / evaluation,None,Canonical: Valid Parentheses,1
String / Text,Stack,LIFO state maintenance,+ Counting,Canonical: Valid Parentheses,1
String / Text,Stack,LIFO state maintenance,+ Counting + Greedy Check,Canonical: Valid Parentheses,1
String / Text,Stack,LIFO state maintenance,+ Greedy Check,Canonical: Valid Parentheses,1
String / Text,Stack,LIFO state maintenance,+ String Parsing,Canonical: Valid Parentheses,1
String / Text,Two Pointers,Boundary / pointer sweep,+ Counting + Greedy Check,Canonical: Two Sum II / Container With Most Water,1
String / Text,Simulation / Scan / Precompute,Single-pass scan,+ Counting,Canonical: Linear scan with running state,1
String / Text,Simulation / Scan / Precompute,State-tracking simulation,+ Prefix/Suffix,Canonical: Direct simulation,1
String / Text,Simulation / Scan / Precompute,State-tracking simulation,None,Canonical: Direct simulation,1
String / Text,Sliding Window,Fixed-size window,+ Hash Map + Counting,Canonical: Fixed-size subarray window,1
String / Text,Sliding Window,Variable-size + frequency/uniqueness control,+ Hash Set,Canonical: Longest Substring Without Repeating Characters,1
String / Text,Sliding Window,Variable-size window,+ Greedy Check,Canonical: Minimum Window / variable-size window,1
String / Text,Sliding Window,Variable-size window,+ Hash Map + Counting,Canonical: Minimum Window / variable-size window,1
String / Text,Sorting / Sweep,Order-then-scan,+ Math,Canonical: Sort then scan,1
Tree / Trie,DFS,Memoized DFS,+ Graph,Canonical: Path Sum / subtree DFS,1
Tree / Trie,DFS,Tree DFS,+ Bitmask + Tree + Segment/Fenwick,Canonical: Path Sum / subtree DFS,1
Tree / Trie,DFS,Tree DFS,+ Bitmask + Trie,Canonical: Path Sum / subtree DFS,1
Tree / Trie,DFS,Tree DFS,+ Counting,Canonical: Path Sum / subtree DFS,1
Tree / Trie,DFS,Tree DFS,+ Hash Set,Canonical: Path Sum / subtree DFS,1
Tree / Trie,DFS,Tree DFS,+ Hash Set + Tree,Canonical: Path Sum / subtree DFS,1
Tree / Trie,DFS,Tree DFS,+ Prefix/Suffix,Canonical: Path Sum / subtree DFS,1
Tree / Trie,DFS,Tree DFS,+ Sorting + Tree + Segment/Fenwick,Canonical: Path Sum / subtree DFS,1
Tree / Trie,Counting,Count-driven scan,+ Greedy Check,Canonical: Frequency counting,1
Tree / Trie,Counting,Count-driven scan,+ Memoization,Canonical: Frequency counting,1
Tree / Trie,Counting,Count-driven scan,+ Tree,Canonical: Frequency counting,1
Tree / Trie,Counting,Frequency counting,None,Canonical: Frequency counting,1
Tree / Trie,Custom Exact Technique,Exact custom / named technique,+ Counting,Canonical: Exact custom named technique,1
Tree / Trie,Custom Exact Technique,Exact custom / named technique,+ Hash Set + Memoization,Canonical: Exact custom named technique,1
Tree / Trie,Custom Exact Technique,Exact custom / named technique,+ Tree,Canonical: Exact custom named technique,1
Tree / Trie,Custom Exact Technique,Exact custom / named technique,+ Tree + Intervals/Geometry,Canonical: Exact custom named technique,1
Tree / Trie,BFS,Single-source breadth-first traversal,+ Hash Map,Canonical: Binary Tree Level Order Traversal,1
Tree / Trie,BFS,Single-source breadth-first traversal,+ Memoization,Canonical: Binary Tree Level Order Traversal,1
Tree / Trie,BFS,Single-source breadth-first traversal,+ Tree + Graph,Canonical: Binary Tree Level Order Traversal,1
Tree / Trie,Backtracking,Choice tree with undo,+ Hash Set,Canonical: Permutations / combinations search,1
Tree / Trie,Backtracking,Choice tree with undo,+ Tree,Canonical: Permutations / combinations search,1
Tree / Trie,Binary Search,Boundary / insertion search,None,Canonical: First/Last Position in Sorted Array,1
Tree / Trie,Binary Search,Exact / partition binary search,+ Tree,Canonical: Binary Search / median partition,1
Tree / Trie,Bit / Mask,XOR / parity logic,+ Math,Canonical: Single Number / XOR invariant,1
Array / Sequence,Hash Map,Frequency dictionary,+ Counting + Greedy Check + Math,Canonical: Group Anagrams / frequency map,1
Array / Sequence,Hash Map,Frequency dictionary,+ Counting + Sorting,Canonical: Group Anagrams / frequency map,1
String / Text,Two Pointers,Opposite-end pinch,None,Canonical: Two Sum II / Container With Most Water,1
Tree / Trie,BFS,Level-order traversal,+ Counting,Canonical: Binary Tree Level Order Traversal,1
Tree / Trie,BFS,Level-order traversal,+ Hash Set,Canonical: Binary Tree Level Order Traversal,1
Tree / Trie,BFS,Level-order traversal,+ Sorting + Heap,Canonical: Binary Tree Level Order Traversal,1
Tree / Trie,BFS,Single-source breadth-first traversal,+ Counting + Graph,Canonical: Binary Tree Level Order Traversal,1
Tree / Trie,BFS,Single-source breadth-first traversal,+ Counting + Tree + Math,Canonical: Binary Tree Level Order Traversal,1
Array / Sequence,Dynamic Programming,State-transition DP,+ Prefix/Suffix + Math,Canonical: Coin Change / state-transition DP,1
Array / Sequence,Dynamic Programming,State-transition DP,+ Sorting + Greedy Check,Canonical: Coin Change / state-transition DP,1
Array / Sequence,Dynamic Programming,State-transition DP,+ Tree + Segment/Fenwick,Canonical: Coin Change / state-transition DP,1
Array / Sequence,Dynamic Programming,Tree DP,+ Tree + Math,Canonical: Binary Tree Maximum Path Sum / tree DP,1
Array / Sequence,Fenwick / Sparse Table,Fenwick prefix aggregate,+ Sorting + Tree + Segment/Fenwick,Canonical: Fenwick tree / Binary Lifting,1
Array / Sequence,Fenwick / Sparse Table,Fenwick prefix aggregate,+ Tree + Segment/Fenwick + Math,Canonical: Fenwick tree / Binary Lifting,1
Array / Sequence,Fenwick / Sparse Table,Power-of-two jump table,+ Prefix/Suffix + Segment/Fenwick + Math,Canonical: Fenwick tree / Binary Lifting,1
Array / Sequence,Geometry,Geometric reasoning,+ Hash Map + Math,Canonical: Geometry / sweep / convex-hull family,1
Array / Sequence,Dynamic Programming,1D DP,+ Sorting + Greedy Check,Canonical: Climbing Stairs / House Robber,1
Array / Sequence,Dynamic Programming,3D DP,+ Intervals/Geometry,Canonical: Coin Change / state-transition DP,1
Array / Sequence,Dynamic Programming,Interval DP,+ Sorting + Intervals/Geometry,Canonical: Coin Change / state-transition DP,1
Array / Sequence,Dynamic Programming,Memoized DP,+ Bitmask,Canonical: Coin Change (top-down),1
Array / Sequence,Dynamic Programming,Memoized DP,+ Prefix/Suffix,Canonical: Coin Change (top-down),1
Array / Sequence,Dynamic Programming,State-transition DP,+ Bitmask,Canonical: Coin Change / state-transition DP,1
Array / Sequence,Dynamic Programming,State-transition DP,+ Graph + Math,Canonical: Coin Change / state-transition DP,1
Array / Sequence,Dynamic Programming,State-transition DP,+ Hash Map,Canonical: Coin Change / state-transition DP,1
Tree / Trie,Geometry,Geometric reasoning,+ Math,Canonical: Geometry / sweep / convex-hull family,1
Tree / Trie,Graph,General graph modeling,+ Counting,Canonical: General graph construction,1
Tree / Trie,Graph,General graph modeling,+ Sorting,Canonical: General graph construction,1
Tree / Trie,Greedy,Local-choice optimization,+ Prefix/Suffix,Canonical: Gas Station / local-choice greedy,1
Tree / Trie,Greedy,Local-choice optimization,+ String Parsing,Canonical: Gas Station / local-choice greedy,1
Array / Sequence,DFS,Memoized DFS,None,Canonical: Depth-first component exploration,1
Array / Sequence,Divide and Conquer,Recursive split / combine,+ Intervals/Geometry,Canonical: Merge-sort / recursive split-combine,1
Array / Sequence,Dynamic Programming,1D DP,+ Sorting,Canonical: Climbing Stairs / House Robber,1
Tree / Trie,DFS,Tree DFS,+ String Parsing,Canonical: Path Sum / subtree DFS,1
Tree / Trie,DFS,Tree DFS,+ Tree + Math,Canonical: Path Sum / subtree DFS,1
Tree / Trie,Divide and Conquer,Recursive split / combine,None,Canonical: Merge-sort / recursive split-combine,1
Tree / Trie,Dynamic Programming,1D DP,None,Canonical: Climbing Stairs / House Robber,1
Tree / Trie,Dynamic Programming,State-transition DP,+ Counting,Canonical: Coin Change / state-transition DP,1
Tree / Trie,Dynamic Programming,State-transition DP,+ Greedy Check + Graph,Canonical: Coin Change / state-transition DP,1
Tree / Trie,Dynamic Programming,State-transition DP,+ Math,Canonical: Coin Change / state-transition DP,1
Tree / Trie,Dynamic Programming,Tree DP,+ Greedy Check + Tree,Canonical: Binary Tree Maximum Path Sum / tree DP,1
Array / Sequence,Binary Search,Exact / partition binary search,+ Sorting + Greedy Check + Tree,Canonical: Binary Search / median partition,1
Array / Sequence,Binary Search,Exact / partition binary search,+ Sorting + Tree,Canonical: Binary Search / median partition,1
Tree / Trie,Tree,Recursive subtree aggregation,+ Bitmask,Canonical: Binary Tree recursion,1
Tree / Trie,Tree,Recursive subtree aggregation,+ Hash Map + Segment/Fenwick,Canonical: Binary Tree recursion,1
Tree / Trie,Sliding Window,Variable-size window,+ Hash Map,Canonical: Minimum Window / variable-size window,1
Tree / Trie,Tree,Recursive subtree aggregation,+ Greedy Check + Math,Canonical: Binary Tree recursion,1
Array / Sequence,Backtracking,Choice tree with undo,+ Counting,Canonical: Permutations / combinations search,1
Tree / Trie,Union-Find,Connectivity / component merging,None,Canonical: Number of Connected Components / Redundant Connection,1
Array / Sequence,Binary Search,Answer-space binary search,+ Counting + Greedy Check,Canonical: Koko Eating Bananas,1
Array / Sequence,Binary Search,Answer-space binary search,+ Greedy Check + Math,Canonical: Koko Eating Bananas,1
Array / Sequence,Binary Search,Answer-space binary search,+ Intervals/Geometry,Canonical: Koko Eating Bananas,1
Array / Sequence,Binary Search,Answer-space binary search,+ Math,Canonical: Koko Eating Bananas,1
Array / Sequence,Binary Search,Answer-space binary search,+ Sorting + Greedy Check,Canonical: Koko Eating Bananas,1
Array / Sequence,Binary Search,Exact / partition binary search,+ Counting + Tree + Segment/Fenwick,Canonical: Binary Search / median partition,1
Array / Sequence,Binary Search,Exact / partition binary search,+ Hash Set + Sorting,Canonical: Binary Search / median partition,1
Array / Sequence,Binary Search,Exact / partition binary search,+ Prefix/Suffix + Math,Canonical: Binary Search / median partition,1
Tree / Trie,Simulation / Scan / Precompute,Direct simulation / scan,None,Canonical: Direct simulation,1
Tree / Trie,Simulation / Scan / Precompute,Single-pass scan,None,Canonical: Linear scan with running state,1
Tree / Trie,Sliding Window,Fixed-size window,+ Hash Set,Canonical: Fixed-size subarray window,1
Array / Sequence,Backtracking,Choice tree with undo,+ Greedy Check,Canonical: Permutations / combinations search,1
Array / Sequence,Backtracking,Choice tree with undo,+ Sorting,Canonical: Combination Sum,1
Array / Sequence,Backtracking,Combination search,None,Canonical: Permutations / combinations search,1
Array / Sequence,Backtracking,Permutation / choice-tree generation,None,Canonical: Permutations / combinations search,1
Array / Sequence,BFS,Single-source breadth-first traversal,+ Hash Map + Graph,Canonical: Shortest-path layer BFS,1
Array / Sequence,Custom Exact Technique,Exact custom / named technique,+ Hash Set,Canonical: Exact custom named technique,1
Array / Sequence,Custom Exact Technique,Exact custom / named technique,+ Sorting,Canonical: Exact custom named technique,1
Array / Sequence,Custom Exact Technique,Exact custom / named technique,+ Trie,Canonical: Exact custom named technique,1
Array / Sequence,DFS,Depth-first traversal,+ Hash Set,Canonical: Depth-first component exploration,1
Array / Sequence,DFS,Depth-first traversal,+ Sorting + Bitmask,Canonical: Depth-first component exploration,1
Array / Sequence,DFS,Depth-first traversal,+ Stack,Canonical: Depth-first component exploration,1
Tree / Trie,Shortest Path / Flow,All-pairs shortest path,+ Bitmask,Canonical: Weighted shortest path,1
Tree / Trie,Shortest Path / Flow,Weighted shortest path,None,Canonical: Network Delay Time,1
Array / Sequence,Counting,Count-driven scan,+ Greedy Check + Tree + Segment/Fenwick,Canonical: Frequency counting,1
Array / Sequence,Counting,Count-driven scan,+ Prefix/Suffix,Canonical: Frequency counting,1
Array / Sequence,BFS,Single-source breadth-first traversal,+ Memoization,Canonical: Shortest-path layer BFS,1
Tree / Trie,Sliding Window,Variable-size + frequency/uniqueness control,+ Hash Map + Counting,Canonical: Longest Substring Without Repeating Characters,1
Tree / Trie,Sliding Window,Variable-size + frequency/uniqueness control,None,Canonical: Longest Substring Without Repeating Characters,1
Tree / Trie,Sliding Window,Variable-size window,+ Counting,Canonical: Minimum Window / variable-size window,1
Tree / Trie,Sliding Window,Variable-size window,+ Greedy Check,Canonical: Minimum Window / variable-size window,1
Array / Sequence,BFS,Single-source breadth-first traversal,+ Math,Canonical: Shortest-path layer BFS,1
Tree / Trie,Trie,Prefix-tree traversal / insertion,+ Hash Set + Prefix/Suffix,Canonical: Implement Trie (Prefix Tree),1
Tree / Trie,Trie,Prefix-tree traversal / insertion,+ Heap,Canonical: Implement Trie (Prefix Tree),1
