ID,Problem Title,data_shape,primary_engine,variation,composite_helper,canonical_link,opt_time_budget,opt_space_budget,draw_anatomy_bucket
171,Excel Sheet Column Number,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(N),O(1),Strip / timeline / pointer canvas
172,Factorial Trailing Zeroes,Number / Bit / Math,Math / Number Theory,Formula / constructive math,+ Counting,Canonical: Mathematical invariant,O(N),O(1),Coordinate-plane canvas
173,Binary Search Tree Iterator,Object / Process / API,Shell / Unix,Pipeline / text processing,+ Stack,Canonical: Text-processing pipeline,Custom / source-specific,O(H),Container canvas (stack/queue/heap)
174,Dungeon Game,Matrix / Grid,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,O(states × transitions),O(M x N),Grid / board canvas
175,Combine Two Tables,Relational Table / SQL,SQL / Join,Key-based row matching,None,Canonical: Combine Two Tables,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
176,Second Highest Salary,Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,None,Canonical: Basic filter / reshape / null-handling,Depends on engine / grouping plan,O(1),Coordinate-plane canvas
177,Nth Highest Salary,Array / Sequence,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,Custom / source-specific,Custom / source-specific,Strip / timeline / pointer canvas
178,Rank Scores,Relational Table / SQL,SQL / Window Function,DENSE_RANK ranking,None,Canonical: Ranking & running-row analytics,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
179,Largest Number,Number / Bit / Math,Greedy,Sort-then-greedy,+ Sorting,Canonical: Merge Intervals / scheduling greedy,O(N),O(N),Coordinate-plane canvas
180,Consecutive Numbers,Relational Table / SQL,SQL / Window Function,Lead/Lag neighbor rows,None,Canonical: Ranking & running-row analytics,Depends on engine / grouping plan,O(N),Relational table canvas
181,Employees Earning More Than Their Managers,Relational Table / SQL,SQL / Join,Self-join,None,Canonical: Combine Two Tables,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
182,Duplicate Emails,Relational Table / SQL,SQL / Group By,Aggregate + HAVING filter,+ Counting,Canonical: Grouped aggregation / departmental summary,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
183,Customers Who Never Order,Relational Table / SQL,SQL / Join,Left join / null retention,None,Canonical: Combine Two Tables,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
184,Department Highest Salary,Relational Table / SQL,SQL / Window Function,Partitioned window analytics,None,Canonical: Ranking & running-row analytics,O(N),Result / grouping dependent,Relational table canvas
185,Department Top Three Salaries,Relational Table / SQL,SQL / Window Function,DENSE_RANK ranking,None,Canonical: Ranking & running-row analytics,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
186,Reverse Words in a String II,String / Text,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,Custom / source-specific,O(1),Coordinate-plane canvas
187,Repeated DNA Sequences,Array / Sequence,Sliding Window,Variable-size + frequency/uniqueness control,+ Hash Set,Canonical: Longest Substring Without Repeating Characters,O(N),O(N),Lookup-table / bucket canvas
188,Best Time to Buy and Sell Stock IV,Matrix / Grid,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,O(states × transitions),O(states),Grid / board canvas
189,Rotate Array,Array / Sequence,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,Custom / source-specific,O(1),Strip / timeline / pointer canvas
190,Reverse Bits,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Bitmask + Tree + Segment/Fenwick,Canonical: Exact custom named technique,Custom / source-specific,O(1),Strip / timeline / pointer canvas
191,Number of 1 Bits,Number / Bit / Math,Bit / Mask,Bitwise state manipulation,None,Canonical: Bit manipulation,O(2^N),O(1),Strip / timeline / pointer canvas
192,Word Frequency,Object / Process / API,Shell / Unix,Pipeline / text processing,+ Sorting,Canonical: Text-processing pipeline,Custom / source-specific,O(1),Lookup-table / bucket canvas
193,Valid Phone Numbers,Object / Process / API,Shell / Unix,Pipeline / text processing,None,Canonical: Text-processing pipeline,Custom / source-specific,Custom / source-specific,Strip / timeline / pointer canvas
194,Transpose File,Object / Process / API,Shell / Unix,Pipeline / text processing,None,Canonical: Text-processing pipeline,Custom / source-specific,Custom / source-specific,Lookup-table / bucket canvas
195,Tenth Line,Object / Process / API,Shell / Unix,Pipeline / text processing,None,Canonical: Text-processing pipeline,Custom / source-specific,O(1),Container canvas (stack/queue/heap)
196,Delete Duplicate Emails,Relational Table / SQL,SQL / Join,Self-join,None,Canonical: Combine Two Tables,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
197,Rising Temperature,Relational Table / SQL,SQL / Join,Self-join,None,Canonical: Combine Two Tables,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
198,House Robber,Array / Sequence,Dynamic Programming,1D DP,None,Canonical: Climbing Stairs / House Robber,O(N),O(1),State-table / recurrence canvas
199,Binary Tree Right Side View,Tree / Trie,DFS,Tree DFS,None,Canonical: Path Sum / subtree DFS,O(V+E),O(H),Node-link canvas (tree/list/trie)
200,Number of Islands,Graph / Network,Union-Find,Connectivity / component merging,None,Canonical: Number of Connected Components / Redundant Connection,O(V+E),O(M x N),Grid / board canvas
201,Bitwise AND of Numbers Range,Intervals / Geometry / Coordinates,Custom Exact Technique,Exact custom / named technique,+ Prefix/Suffix + Bitmask + Tree,Canonical: Exact custom named technique,O(1),Custom / source-specific,Strip / timeline / pointer canvas
202,Happy Number,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,Custom / source-specific,Custom / source-specific,Node-link canvas (tree/list/trie)
203,Remove Linked List Elements,Linked List,Linked List,Dummy-node merge / splice,None,Canonical: Merge Two Sorted Lists,O(N),O(1),Node-link canvas (tree/list/trie)
204,Count Primes,Number / Bit / Math,Math / Number Theory,Divisor / number theory,None,Canonical: Count Primes / GCD-LCM family,O(N),O(1),Graph / state-network canvas
205,Isomorphic Strings,String / Text,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,O(1),O(1),Node-link canvas (tree/list/trie)
206,Reverse Linked List,Linked List,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,Custom / source-specific,Custom / source-specific,Node-link canvas (tree/list/trie)
207,Course Schedule,Graph / Network,Topological Sort,DAG ordering / prerequisite resolution,+ Sorting,Canonical: Course Schedule,O(V+E),O(V),Graph / state-network canvas
208,Implement Trie (Prefix Tree),Tree / Trie,Trie,Prefix-tree traversal / insertion,None,Canonical: Implement Trie (Prefix Tree),O(L) per op,O(total characters),Node-link canvas (tree/list/trie)
209,Minimum Size Subarray Sum,Array / Sequence,Sliding Window,Variable-size window,None,Canonical: Minimum Window / variable-size window,O(N),O(1),Coordinate-plane canvas
210,Course Schedule II,Graph / Network,Topological Sort,DAG ordering / prerequisite resolution,+ Sorting,Canonical: Course Schedule,O(V+E),O(V),Node-link canvas (tree/list/trie)
211,Design Add and Search Words Data Structure,String / Text,DFS,Depth-first traversal,+ Trie,Canonical: Depth-first component exploration,O(V+E),O(V),Node-link canvas (tree/list/trie)
212,Word Search II,Matrix / Grid,DFS,Flood-fill / component DFS,+ Grid + Trie,Canonical: Number of Islands,O(V+E),O(V),Grid / board canvas
213,House Robber II,Array / Sequence,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,O(N),O(states),State-table / recurrence canvas
214,Shortest Palindrome,String / Text,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,Custom / source-specific,Custom / source-specific,Strip / timeline / pointer canvas
215,Kth Largest Element in an Array,Array / Sequence,Heap,Priority-based selection,+ Sorting,Canonical: Top K Frequent Elements / merge-k,O(N),O(K),Relational table canvas
216,Combination Sum III,Array / Sequence,Backtracking,Choice tree with undo,None,Canonical: Combination Sum,O(branch^depth),O(depth),Coordinate-plane canvas
217,Contains Duplicate,Array / Sequence,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,O(N),O(N),Lookup-table / bucket canvas
218,The Skyline Problem,Intervals / Geometry / Coordinates,Heap,Priority-based selection,+ Hash Map + Tree + Intervals/Geometry,Canonical: Top K Frequent Elements / merge-k,O(N log K),O(K),Container canvas (stack/queue/heap)
219,Contains Duplicate II,Array / Sequence,Sliding Window,Variable-size + frequency/uniqueness control,+ Hash Set,Canonical: Longest Substring Without Repeating Characters,O(1),O(1),Lookup-table / bucket canvas
220,Contains Duplicate III,Array / Sequence,Sliding Window,Variable-size window,+ Sorting,Canonical: Minimum Window / variable-size window,O(1),O(1),Lookup-table / bucket canvas
221,Maximal Square,Matrix / Grid,Dynamic Programming,2D DP,None,Canonical: Edit Distance / Grid DP,O(M·N),O(MN),Grid / board canvas
222,Count Complete Tree Nodes,Tree / Trie,Binary Search,Exact / partition binary search,+ Tree,Canonical: Binary Search / median partition,O(log N),Custom / source-specific,Node-link canvas (tree/list/trie)
223,Rectangle Area,Intervals / Geometry / Coordinates,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(N),O(1),Strip / timeline / pointer canvas
224,Basic Calculator,Object / Process / API,Shell / Unix,Pipeline / text processing,+ Stack,Canonical: Text-processing pipeline,Custom / source-specific,Custom / source-specific,Container canvas (stack/queue/heap)
225,Implement Stack using Queues,Array / Sequence,Geometry,Geometric reasoning,+ Queue/Deque,Canonical: Geometry / sweep / convex-hull family,Custom / source-specific,Custom / source-specific,Container canvas (stack/queue/heap)
226,Invert Binary Tree,Tree / Trie,DFS,Tree DFS,None,Canonical: Path Sum / subtree DFS,O(V+E),O(Height),Node-link canvas (tree/list/trie)
227,Basic Calculator II,Number / Bit / Math,Stack,LIFO state maintenance,None,Canonical: Valid Parentheses,O(1),O(N),Container canvas (stack/queue/heap)
228,Summary Ranges,Intervals / Geometry / Coordinates,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Coordinate-plane canvas
229,Majority Element II,Number / Bit / Math,Counting,Voting / dominant element,+ Greedy Check,Canonical: Majority Element,O(N),O(N),Strip / timeline / pointer canvas
230,Kth Smallest Element in a BST,Tree / Trie,Tree,Inorder traversal / BST order,None,Canonical: Inorder Traversal / BST validation,O(N),O(H),Container canvas (stack/queue/heap)
231,Power of Two,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Bitmask + Tree + Segment/Fenwick,Canonical: Exact custom named technique,Custom / source-specific,Custom / source-specific,Strip / timeline / pointer canvas
232,Implement Queue using Stacks,Array / Sequence,Stack,Dual-stack transfer / evaluation,None,Canonical: Valid Parentheses,O(N),O(N),Container canvas (stack/queue/heap)
233,Number of Digit One,Number / Bit / Math,Counting,Count-driven scan,+ Math,Canonical: Frequency counting,O(N),O(N),State-table / recurrence canvas
234,Palindrome Linked List,Linked List,Linked List,Pointer manipulation on list nodes,None,Canonical: Pointer rewiring on linked list,O(1.5N),O(1),Node-link canvas (tree/list/trie)
235,Lowest Common Ancestor of a BST,Tree / Trie,Tree,Recursive subtree aggregation,None,Canonical: Binary Tree recursion,O(N),O(1),Node-link canvas (tree/list/trie)
236,Lowest Common Ancestor of a Binary Tree,Tree / Trie,Backtracking,Choice tree with undo,+ Tree,Canonical: Permutations / combinations search,O(N),O(depth),Node-link canvas (tree/list/trie)
237,Delete Node in a Linked List,Linked List,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,Custom / source-specific,Custom / source-specific,Node-link canvas (tree/list/trie)
238,Product of Array Except Self,Array / Sequence,Custom Exact Technique,Exact custom / named technique,+ Prefix/Suffix,Canonical: Exact custom named technique,Custom / source-specific,Custom / source-specific,Strip / timeline / pointer canvas
239,Sliding Window Maximum,Array / Sequence,Queue / Deque,Deque-backed range/window state,None,Canonical: Sliding Window Maximum,O(N),O(N),Container canvas (stack/queue/heap)
240,Search a 2D Matrix II,Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,None,Canonical: Basic filter / reshape / null-handling,Depends on engine / grouping plan,Result / grouping dependent,Grid / board canvas
241,Different Ways to Add Parentheses,Array / Sequence,Dynamic Programming,Memoized DP,None,Canonical: Coin Change (top-down),O(states × transitions),O(states),State-table / recurrence canvas
242,Valid Anagram,String / Text,Counting,Frequency counting,None,Canonical: Frequency counting,O(N),O(1),Lookup-table / bucket canvas
243,Shortest Word Distance,Intervals / Geometry / Coordinates,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(1),O(1),Coordinate-plane canvas
244,Shortest Word Distance II,Intervals / Geometry / Coordinates,Two Pointers,Boundary / pointer sweep,+ Hash Map,Canonical: Two Sum II / Container With Most Water,O(N),O(N),Lookup-table / bucket canvas
245,Shortest Word Distance III,Intervals / Geometry / Coordinates,Simulation / Scan / Precompute,Single-pass scan,None,Canonical: Linear scan with running state,O(N),O(1),Coordinate-plane canvas
246,Strobogrammatic Number,Number / Bit / Math,Two Pointers,Boundary / pointer sweep,+ Hash Map,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Lookup-table / bucket canvas
247,Strobogrammatic Number II,Number / Bit / Math,Backtracking,Choice tree with undo,None,Canonical: Permutations / combinations search,O(branch^depth),O(depth),Strip / timeline / pointer canvas
248,Strobogrammatic Number III,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,Custom / source-specific,O(N),Strip / timeline / pointer canvas
249,Group Shifted Strings,String / Text,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,O(N),O(N),Lookup-table / bucket canvas
250,Count Univalue Subtrees,Tree / Trie,DFS,Tree DFS,+ Tree,Canonical: Path Sum / subtree DFS,O(V+E),O(H),Node-link canvas (tree/list/trie)
251,Flatten 2D Vector,Matrix / Grid,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Grid / board canvas
252,Meeting Rooms,Intervals / Geometry / Coordinates,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,O(N log N),O(1),Strip / timeline / pointer canvas
253,Meeting Rooms II,Intervals / Geometry / Coordinates,Heap,Priority-based selection,None,Canonical: Top K Frequent Elements / merge-k,O(N log K),O(K),Container canvas (stack/queue/heap)
254,Factor Combinations,Number / Bit / Math,Backtracking,Choice tree with undo,None,Canonical: Combination Sum,O(branch^depth),O(log N),Graph / state-network canvas
