ID,Problem Title,Optimised Pattern,How to Draw (Opt),Anatomy Bucket
129,Sum Root to Leaf Numbers,DFS with Arithmetic Accumulation.,"Draw the tree. Write the running number *inside* each node as you go down (e.g., root is 1, left child is 12, its child is 123).",Node-link canvas (tree/list/trie)
130,Surrounded Regions,Border-to-Interior DFS (Inverse Flood Fill).,"Draw the grid. Use a highlighter to ""color in"" every 'O' that touches the edge, and any 'O' touching those. Any 'O' without color gets turned into an 'X'.",Grid / board canvas
131,Palindrome Partitioning,Backtracking with DP/Memoization (pre-checking palindromes).,"Draw a decision tree. On each arrow, write the substring chosen. If it's a palindrome, draw a green check; if not, draw a red X and stop that branch.",Node-link canvas (tree/list/trie)
132,Palindrome Partitioning II,1D Dynamic Programming with 2D Palindrome Pre-processing.,"Draw the 1D DP array. For a cell `dp[i]`, draw several ""look-back"" arrows to previous cells j where a palindrome was found, picking the minimum.",Grid / board canvas
133,Clone Graph,DFS/BFS with a Hash Map (Mapping Original Nodes to Cloned Nodes).,"Draw the Original graph on the left and an empty space on the right. Draw a ""Map"" table in the middle. As you touch an Original node, draw the Clone and update the Map.",Node-link canvas (tree/list/trie)
134,Gas Station,Greedy One-Pass (The Total Net Gain Rule).,"Draw a line graph of the running fuel balance. Identify the lowest point (the ""trough""). Draw a flag on the very next station to show the optimal start.",Graph / state-network canvas
135,Candy,Two-Pass Greedy (Left-to-Right and Right-to-Left).,"Draw the ratings. Draw the candy counts after the first pass. Draw a second row of candy counts after the backward pass, taking the max of the two states.",Strip / timeline / pointer canvas
136,Single Number,Bit Manipulation (XOR).,Write numbers in binary. Line them up. Cross out pairs of identical bit columns to show they result in 0. Circle the remaining bits.,Coordinate-plane canvas
137,Single Number II,Bit Manipulation (Modulo 3 Summing).,"Draw a 32-row vertical stack. For each number, put a mark in the rows corresponding to its '1' bits. Write the total count next to each row.",Container canvas (stack/queue/heap)
138,Copy List with Random Pointer,Interweaving Nodes (In-place).,"Draw the list. Draw a new node right next to each old node. Draw a ""jump"" arrow from an old node's random to the target's *adjacent* copy.",Node-link canvas (tree/list/trie)
139,Word Break,1D Dynamic Programming (Tabulation).,"Draw the string and a boolean array below it. For a cell dp[i] , draw arrows ""looking back"" to previous 'True' indices to find matching words.",Grid / board canvas
140,Word Break II,Backtracking + Memoization (Top-Down DP).,"Draw a ""Memo"" table. As the recursion completes a branch, write the result list into the table. Draw arrows from future branches directly to that table entry.",State-table / recurrence canvas
141,Linked List Cycle,Floyd’s Cycle-Finding Algorithm (Tortoise and Hare).,Draw a list with a loop. Place an 'S' and an 'F' at the start. Move 'S' one node and 'F' two nodes. Repeat until they occupy the same node.,Node-link canvas (tree/list/trie)
142,Linked List Cycle II,Two-Pointer Meeting Point + Distance Logic.,Draw the loop. Mark the meeting point 'M'. Draw an arrow from 'Head' and 'M' moving at the same speed. Mark the junction where they collide.,Node-link canvas (tree/list/trie)
143,Reorder List,Find Middle + Reverse Second Half + Interweave.,Draw the list. Draw a line through the middle. Draw arrows reversing the second half. Then draw zigzag lines connecting nodes from the first and second sections.,Node-link canvas (tree/list/trie)
144,Binary Tree Preorder Traversal,Iterative Traversal with a Stack.,"Draw the tree. Draw a vertical stack box. Put 'Root' in. Take it out, put its 'Right' then 'Left' in. Repeat. Order in result: 1, 2, 3...",Container canvas (stack/queue/heap)
145,Binary Tree Postorder Traversal,Iterative Traversal using Two Stacks (or One Stack + Reverse).,Draw two stack boxes. Move items from S1 to S2 in (Root-Right-Left) order. Draw the result of popping S2 to see the (Left-Right-Root) order.,Container canvas (stack/queue/heap)
146,LRU Cache,Hash Map + Doubly Linked List (DLL).,"Draw a Map (Key rightarrow Node) and a DLL. When a key is accessed, draw an arrow moving that specific node to the front of the line.",Node-link canvas (tree/list/trie)
147,Insertion Sort List,Insertion Sort with Dummy Head and Predecessor Pointers.,"Draw a 'Sorted' section and an 'Unsorted' section. Use a dashed line. Move nodes one by one across the line, drawing the new 'next' arrows.",Node-link canvas (tree/list/trie)
148,Sort List,"Merge Sort (Bottom-Up Iterative for O(1) space, or Top-Down Recursive).","Draw the list. Draw a tree-like structure splitting it in half, then half again. Draw arrows merging the small pieces into larger sorted chains.",Strip / timeline / pointer canvas
149,Max Points on a Line,Hash Map for Slopes (per starting point).,Draw a central point. Draw rays coming out of it to other points. Group the rays that have the same angle. Write the count next to each group.,Lookup-table / bucket canvas
150,Evaluate Reverse Polish Notation,Stack-based Evaluation.,"Draw a vertical bin. Drop numbers into it. When you see ""+"", take the top two out, add them, and drop the result back in.",Container canvas (stack/queue/heap)
151,Reverse Words in a String,Two-Pointer In-place Reverse (or String Builder).,"Write ""blue is sky"". Reverse the letters: ""yks si eulb"". Then circle ""yks"" and flip it to ""sky"", circle ""si"" to ""is"", etc.",Coordinate-plane canvas
152,Maximum Product Subarray,Dynamic Programming (Kadane's variation with Min/Max tracking).,"Draw the array. Below it, draw two rows: 'Max' and 'Min'. Fill them as you move right. Use a swap arrow whenever you hit a negative number.",State-table / recurrence canvas
153,Find Minimum in Rotated Sorted Array,Binary Search (O(log N)).,"Draw two sorted lines shifted. Mark 'L', 'M', 'H'. Show how comparing 'M' to 'H' tells you which ""slope"" the minimum is on.",Coordinate-plane canvas
154,Find Minimum in Rotated Sorted Array II,"Binary Search with Duplicate Handling (O(log N) average, O(N) worst).","Draw an array like [2, 2, 2, 0, 2] . Show how L, M, and H are all the same, forcing the 'H' pointer to move just one step left.",Coordinate-plane canvas
155,Min Stack,Two Stacks (Data Stack + Min Stack) or One Stack with Pairs.,"Draw two parallel stacks. When you drop a number in the left, drop the *lowest seen so far* in the right. Popping keeps them synchronized.",Container canvas (stack/queue/heap)
156,Binary Tree Upside Down,Iterative Pointer Manipulation (Bottom-Up Logic).,"Draw the tree. For each node on the left spine, erase its arrows and draw new ones pointing 'up' to the parent and 'left' to the sibling.",Node-link canvas (tree/list/trie)
157,Read N Characters Given Read4,Buffered Chunk Processing with Bound Checking.,"Draw a target array and a 4-slot internal buffer. Draw arrows moving characters from buffer to array, stopping precisely at index N-1.",Object / process canvas
158,Read N Characters Given Read4 II,Global State Buffer (Persistent Pointer/Counter).,"Draw a persistent 4-slot box. Mark where the ""last read"" ended with a pointer. Show the next call starting from that exact pointer.",Lookup-table / bucket canvas
159,Longest Substring with At Most Two Distinct Characters,Sliding Window with Hash Map (Frequency Counter).,"Draw a string. Draw a sliding box over it. Below, draw a small table. As the box expands, add letters to the table. If size > 2, shrink the box from the left.",Node-link canvas (tree/list/trie)
160,Intersection of Two Linked Lists,Two-Pointer Sync (Head Switching).,Draw two lists merging. Trace pA through A and then through B. Trace pB through B and then through A. Show them landing on the same node simultaneously.,Node-link canvas (tree/list/trie)
161,One Edit Distance,One-Pass String Comparison.,"Draw S and T parallel. Draw a vertical line through matching chars. At the mismatch, draw a box around the remaining parts and link them with an '=' sign.",Strip / timeline / pointer canvas
162,Find Peak Element,Binary Search on Slope.,"Draw a line chart. Mark L, R, and M. Draw an uphill arrow based on the comparison of M and M+1 to show the direction of search.",Coordinate-plane canvas
163,Missing Ranges,Linear Scan of Adjacent Elements.,"Draw array boxes. Draw arrows between them. Label the ""missing"" range values directly on the arrows between the boxes.",Strip / timeline / pointer canvas
164,Maximum Gap,Bucket Sort (Pigeonhole Principle).,Draw N-1 buckets. Place the numbers into them. Draw a large arrow between the max of one bucket and the min of the next.,Lookup-table / bucket canvas
165,Compare Version Numbers,Two-Pointer Integer Parsing.,"Draw the strings. Draw two pointers. Circle the digits between the dots and write the integer value (e.g., ""001"" rightarrow 1) above the circle.",Coordinate-plane canvas
166,Fraction to Recurring Decimal,Long Division + Hash Map (Remainder Tracking).,"Draw the long division. Beside it, keep a ""Remainder Log."" When you write a remainder, check if it's already in the log. If yes, draw a loop arrow back to its first occurrence.",Lookup-table / bucket canvas
167,Two Sum II - Input Array Is Sorted,Two Pointers (Left and Right).,"Draw the sorted array. Put a finger on the first and last elements. Slide them inward, noting if the sum needs to ""grow"" or ""shrink.""",Coordinate-plane canvas
168,Excel Sheet Column Title,Base-26 Conversion (with Offset Correction).,"Write the number. Draw a box for ""Remainder"" and ""Quotient."" Perform the math, write the letter, and repeat with the new quotient.",Strip / timeline / pointer canvas
169,Majority Element,Boyer-Moore Voting Algorithm.,"Draw the array. Use a ""Battle Box."" Put the first number in. If the next is same, add a +1. If different, do a -1. If box hits 0, clear and put the next number in.",Strip / timeline / pointer canvas
170,Two Sum III - Data structure design,Hash Map (Value rightarrow Frequency Count).,"Draw a Map. For `add`, just update the counts. For `find(10)`, iterate through the keys, subtract from 10, and do a quick ""Is it in the map?"" check.",Lookup-table / bucket canvas
171,Excel Sheet Column Number,Polynomial Rolling Sum (Base-26 conversion).,"Draw a single box labeled 'Result'. As you read 'A', 'B', 'C', update the box: 0 to 1, 1 to (1 x 26 + 2) = 28, etc.",Strip / timeline / pointer canvas
172,Factorial Trailing Zeroes,Count Factors of 5 (Legendre's Formula).,"Draw a number line up to n. Circle every multiple of 5. For 25, draw two circles (since it's 5^2). Count total circles.",Coordinate-plane canvas
173,Binary Search Tree Iterator,Controlled Stack-based DFS (Lazy Loading).,"Draw the BST and a vertical stack. Draw an arrow down the left spine. As you pop a node, draw a small arrow to its right child and then down *that* node's left spine.",Container canvas (stack/queue/heap)
174,Dungeon Game,Bottom-Up Dynamic Programming (Reverse Tabulation).,"Draw the grid. Start at the bottom-right corner with '1'. Move left and up, calculating health required based on the cell's damage/heal value.",Grid / board canvas
175,Combine Two Tables,SQL Left Outer Join.,"Draw Table A. Draw Table B. Draw lines connecting matching IDs. If a row in A has no line, draw a box with ""NULL"" in the B columns.",Relational table canvas
176,Second Highest Salary,Subquery with LIMIT 1 OFFSET 1 wrapped in IFNULL .,Draw Table A. Draw a smaller Table B (filtered for salaries < Max). Circle the highest value in Table B.,Coordinate-plane canvas
177,Nth Highest Salary,Function with Local Variable Offset (N-1) and LIMIT .,Draw a vertical sorted list. Draw a sliding window box that stops exactly at the N-th position.,Strip / timeline / pointer canvas
178,Rank Scores,Window Function: DENSE_RANK() OVER(ORDER BY Score DESC) .,Draw the scores. Group identical values with a circle. Assign a rank number to each circle.,Relational table canvas
179,Largest Number,Custom Greedy Sorting (Comparator: S1+S2 vs S2+S1).,"Draw two boxes. Put ""9"" in one, ""91"" in the other. Draw two combinations: ""991"" and ""919"". Circle the bigger one.",Coordinate-plane canvas
180,Consecutive Numbers,Window Functions: LEAD() or LAG() .,"Draw the table columns. Add two virtual columns labeled ""Next"" and ""Next+1"". Fill them and circle rows where all three match.",Relational table canvas
